,Unnamed: 0_x_x,model,dt_ImageNet,dt_Aircraft,dt_Caltech101,dt_Cars,dt_CIFAR10,dt_CIFAR100,dt_DTD,dt_Flowers,dt_Food,dt_Pets,dt_SUN397,dt_VOC2007,dt_Avg.,Unnamed: 0_y_x,voc_forzen_ap,voc_forzen_ap_50,voc_forzen_ap_75,voc_tuned_ap,voc_tuned_ap_50,voc_tuned_ap_75,Unnamed: 0_x_y,ISIC_5_shot,ISIC_20_shot,ISIC_50_shot,ChestX_5_shot,ChestX_20_shot,ChestX_50_shot,CropDiseases_5_shot,CropDiseases_20_shot,CropDiseases_50_shot,EuroSAT_5_shot,EuroSAT_20_shot,EuroSAT_50_shot,Unnamed: 0_y_y,sne_Mean,sne_Median,sne_11.25,sne_22.5,sne_30
0,0,InsDis(R),59.5,36.88,71.55,30.49,80.57,59.87,68.24,83.17,63.45,68.89,49.21,74.38,62.43,1,50.13,77.92,53.34,48.72,76.47,52.08,0,43.9,52.19,55.76,25.67,29.13,31.77,88.01,91.95,92.7,81.29,86.52,88.25,0,32.99,27.35,23.58,43.02,53.51
1,1,MoCoV1(R),60.6,36.19,75.37,31.29,80.21,57.7,68.67,82.04,61.5,69.74,50.55,75.94,62.66,2,50.39,78.03,54.08,50.63,78.1,55.09,1,44.42,53.79,56.81,25.92,30.0,32.74,87.87,92.04,92.87,81.32,86.55,87.72,1,33.69,28.63,21.51,41.07,51.87
2,2,PCLV1(R),61.5,22.93,77.74,12.51,82.03,55.88,62.82,64.95,47.85,75.48,45.46,78.31,56.91,3,51.05,80.16,54.36,53.29,81.67,59.13,2,33.21,38.01,39.77,23.33,25.54,27.4,72.89,80.74,82.83,66.56,75.19,76.41,2,37.9,33.58,16.73,34.96,45.43
3,3,PIRL(R),61.7,37.67,74.37,30.48,82.65,61.25,68.88,84.74,64.64,71.84,52.4,76.61,64.14,4,49.54,77.26,52.79,44.67,71.75,47.01,3,43.89,53.24,56.89,25.6,29.48,31.44,86.22,91.19,92.18,82.14,87.06,88.55,3,33.16,27.66,22.24,42.41,53.12
4,4,PCLV2(R),67.6,36.78,86.21,30.83,91.93,73.58,70.64,85.21,64.84,82.95,55.55,81.14,69.06,5,52.45,81.22,57.13,53.69,81.61,58.75,4,37.47,44.4,46.82,24.87,28.28,30.56,87.57,92.58,93.57,81.1,87.94,89.23,4,33.98,28.67,21.95,41.21,51.76
5,5,SimCLRV1(R),69.3,45.17,90.14,44.21,91.18,72.89,73.99,90.84,67.47,83.3,58.49,80.77,72.59,6,51.94,81.19,56.49,52.25,81.36,56.57,5,43.99,53.0,56.16,26.36,30.82,33.16,90.29,94.03,94.49,82.78,89.38,90.55,5,30.47,23.26,28.34,48.88,59.01
6,6,MoCoV2(R),71.1,40.88,87.86,39.8,92.45,74.97,73.3,88.64,68.25,83.49,59.57,82.69,71.99,7,54.22,81.86,59.97,48.82,76.2,52.92,6,42.6,52.39,55.68,25.26,29.43,32.2,87.62,92.12,93.61,84.15,88.92,89.83,6,30.49,24.19,26.59,47.43,58.03
7,7,SimCLRV2(R),71.7,46.23,89.64,50.33,92.46,76.97,76.38,92.96,73.01,84.72,60.62,81.57,74.99,8,54.95,82.34,61.18,52.35,80.28,56.89,7,43.66,53.15,56.83,26.34,30.9,33.23,90.8,94.92,95.8,86.45,91.05,92.07,7,28.77,21.3,30.58,51.87,62.05
8,8,SeLaV2(R),71.8,39.25,86.94,37.53,92.91,74.82,74.68,89.54,71.07,83.38,61.55,82.73,72.22,9,49.66,80.63,53.15,50.56,80.54,53.87,8,39.97,48.43,51.31,25.6,30.43,32.81,90.96,94.75,95.4,84.56,88.34,88.51,8,39.57,36.1,14.56,32.49,42.51
9,9,InfoMin(R),73.0,39.1,87.9,40.39,91.53,73.17,74.73,87.16,69.42,86.46,60.18,83.24,72.12,10,53.45,81.12,58.96,48.38,76.27,52.19,9,39.03,48.21,51.58,25.78,29.48,31.58,87.77,92.34,92.93,81.68,86.76,87.61,9,32.45,26.58,23.86,44.0,54.66
10,10,BYOL(R),74.3,54.92,91.46,57.74,93.29,78.22,76.97,94.6,73.04,89.18,60.04,81.14,77.33,11,53.32,82.01,58.37,54.87,82.96,60.86,10,43.09,53.76,58.03,26.39,30.71,34.17,92.71,96.07,96.69,83.64,89.62,90.46,10,30.56,23.12,29.23,49.1,59.01
11,11,DeepClusterV2(R),75.2,54.59,90.23,58.04,94.07,79.68,78.62,94.84,77.98,89.39,63.72,83.94,78.64,12,50.05,80.87,53.21,50.87,80.63,54.8,11,40.73,49.91,53.65,26.51,31.51,34.17,93.63,96.63,97.04,88.39,92.02,93.07,11,30.19,23.54,28.44,48.42,58.76
12,12,SwAV(R),75.3,54.16,90.69,57.19,94.03,79.54,76.97,94.54,76.56,87.6,64.91,83.68,78.17,13,50.68,80.82,54.11,51.05,80.59,55.12,12,39.66,47.08,51.1,26.54,30.91,33.86,93.49,96.15,96.72,87.29,91.99,93.36,12,31.64,24.86,27.8,46.7,56.67
13,13,Supervised(R),77.2,43.32,90.21,44.7,91.47,73.98,71.7,89.87,69.5,91.3,59.04,83.6,73.52,14,51.99,81.53,56.21,53.52,81.59,59.26,13,39.38,48.79,52.54,25.22,29.26,32.34,89.37,93.09,94.32,83.81,88.36,89.62,13,33.52,27.91,24.0,42.33,52.8
